chunk size,1,2,4,6,8,10,12,14,16,
static 1,42.999983,23.000002,11.999846,9.000063,6.000042,6.000042,4.999876,4.000187,4.999876,
dynamic 1,141.000032,280.999899,215.000153,187.999964,174.000025,164.000034,155.999899,150.000095,146.999836,
guided 1,45.000076,111.000061,144.000053,132.999897,105.000019,93.999863,82.000017,76.000214,69.999933,
static 5,42.999983,22.000074,10.999918,8.999825,6.999969,4.000187,4.999876,3.999949,4.000187,
dynamic 5,67.999840,164.999962,141.000032,144.999981,126.999855,118.000031,107.000113,98.999977,90.999842,
guided 5,44.000149,121.000051,136.999846,127.000093,108.000040,95.999956,85.000038,77.000141,70.999861,
static 10,44.000149,21.999836,12.000084,9.000063,6.000042,5.999804,4.000187,3.999949,3.999949,
dynamic 10,55.999994,139.000177,138.000011,134.999990,129.999876,112.999916,103.000164,93.999863,85.999966,
guided 10,43.999910,123.000145,145.999908,131.000042,104.000092,95.000029,85.999966,76.999903,70.000172,
static 100,42.999983,21.999836,11.000156,8.000135,5.999804,4.999876,3.999949,4.000187,4.999876,
dynamic 100,48.000097,123.999834,129.000187,119.999886,104.000092,92.000008,81.000090,75.999975,72.999954,
guided 100,43.999910,123.000145,141.000032,127.999783,112.000227,95.999956,83.999872,75.999975,69.000006,


,-0.000000000000064392935428,0.000000000000189182003396,-0.000000000000107913677994,-0.000000000000023980817332,0.000000000000011990408666,-0.000000000000000444089210,-0.000000000000025313084961,-0.000000000000008881784197,0.000000000000000000000000,
,-0.000000000000064392935428,-0.000000000348581163933659,-0.000000000446874093285032,-0.000000001243937841621801,-0.000000005590524487786297,-0.000000003580337804010014,-0.000000003183941554851799,-0.000000009641737630516900,-0.000000015794818786218912,
,-0.000000000000064392935428,0.004146178201565042800000,0.001415271845860655000000,0.007270032319080854700000,0.011522342387823681000000,0.010783514430792618000000,0.009953472917731964700000,0.012005380723635106000000,0.012130831749354698000000,
,-0.000000000000064392935428,0.000000000000189182003396,-0.000000000000107469588784,-0.000000000000023092638912,0.000000000000014210854715,-0.000000000000000888178420,-0.000000000000026201263381,-0.000000000000008881784197,0.000000000000000000000000,
,-0.000000000000064392935428,-0.000000006144436959232280,-0.000000023762426692996996,-0.000000055523885045261068,-0.000000072175251109030114,-0.000000078056797914172193,-0.000000096495954782227500,-0.000000121501092742448690,-0.000000208172020066399450,
,-0.000000000000064392935428,0.002682787965806454600000,0.004434734020859920600000,0.006897157226481098700000,0.008530975919604166800000,0.011728459999291729000000,0.012956931664347859000000,0.011236191019789121000000,0.010599764070314155000000,
,-0.000000000000064392935428,0.000000000000192290627865,-0.000000000000107469588784,-0.000000000000023980817332,0.000000000000012878587086,-0.000000000000000888178420,-0.000000000000026201263381,-0.000000000000009325873407,0.000000000000000000000000,
,-0.000000000000064392935428,-0.000000008061933343128658,-0.000000036690283700124837,-0.000000062852165250149028,-0.000000073744969242284242,-0.000000078598076047597942,-0.000000120367888545303000,-0.000000177552169855488270,-0.000000274141897627089290,
,-0.000000000000064392935428,0.002206099604001643400000,0.001744790192171663500000,0.007254023867278469600000,0.014048544092205795000000,0.010779906883022772000000,0.010227972603928936000000,0.010147612790948113000000,0.011935845551697355000000,
,-0.000000000000064392935428,0.000000000000193178806285,-0.000000000000107469588784,-0.000000000000022648549702,0.000000000000012434497876,-0.000000000000000888178420,-0.000000000000026201263381,-0.000000000000007993605777,0.000000000000000000000000,
,-0.000000000000064392935428,0.000000022280369105232012,-0.000000008134675599791308,0.000000029512185140134761,0.000000047612341180780504,0.000000159537969945944270,-0.000000214068747617091050,-0.000000408829251785647330,-0.000000572621972061426730,
,-0.000000000000064392935428,0.005116253489279909400000,0.002662782329519330900000,0.008558819483289070700000,0.007541792432745442200000,0.009513871187821987300000,0.011192437035439262000000,0.009696174991308037500000,0.011034279709865036000000,
