,chunk size,1,2,4,6,8,10,12,14,16,32,
static,default,388.999939ms,142.000198ms,65.999985ms,49.999952ms,31.000137ms,35.000086ms,28.000116ms,28.999805ms,24.999857ms,24.000168ms,
dynamic,default,375.000000ms,83.999872ms,42.999983ms,30.999899ms,26.000023ms,25.000095ms,22.000074ms,21.999836ms,20.999908ms,26.000023ms,
static,10,404.000044ms,180.000067ms,99.999905ms,56.999922ms,60.000181ms,55.999994ms,37.999868ms,42.000055ms,37.000179ms,30.999899ms,
dynamic,10,366.000175ms,78.000069ms,39.999962ms,29.000044ms,23.999929ms,22.000074ms,23.000002ms,19.999981ms,19.999981ms,26.000023ms,
